,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
9,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,0,0,0,0,320000,江苏省,0,0,1,1,0,0,320000,江苏省,0,0,4,5,0,0,320000,江苏省,0,0,9,14,0,0,320000,江苏省,0,0,17,31,0,0,320000,江苏省,0,0,16,47,0,0,320000,江苏省,0,0,23,70,0,0,320000,江苏省,0,0,29,99,0,0,320000,江苏省,0,0,30,129,0,0,320000,江苏省,0,0,39,168,0,0,320000,江苏省,36,42,34,202,0,0,320000,江苏省,34,47,34,236,0,0,320000,江苏省,26,44,35,271,0,0,320000,江苏省,39,47,37,308,0,0,320000,江苏省,42,43,33,341,0,0,320000,江苏省,48,55,32,373,0,0,320000,江苏省,34,59,35,408,0,0,320000,江苏省,28,68,31,439,0,0,320000,江苏省,24,67,29,468,0,0,320000,江苏省,10,25,67,24,492,0,0,320000,江苏省,10,19,64,23,515,0,0,320000,江苏省,10,22,62,28,543,0,0,320000,江苏省,10,17,59,27,570,0,0,320000,江苏省,10,14,49,23,593,0,0,320000,江苏省,10,3,41,11,604,0,0,320000,江苏省,10,9,32,13,617,0,0,320000,江苏省,10,3,22,9,626,0,0,320000,江苏省,10,4,22,3,629,0,0,320000,江苏省,10,0,20,2,631,0,0,320000,江苏省,1,13,0,631,0,0,320000,江苏省,1,12,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,11,0,631,0,0,320000,江苏省,10,0,9,0,631,0,0,320000,江苏省,10,0,8,0,631,0,0,320000,江苏省,10,0,8,0,631,0,0,320000,江苏省,10,0,7,0,631,0,0,320000,江苏省,10,0,5,0,631,0,0,320000,江苏省,10,0,5,0,631,0,0,320000,江苏省,10,0,4,0,631,0,0,320000,江苏省,10,0,4,0,631,0,0,320000,江苏省,10,0,3,0,631,0,0
10,330000,浙江省,0,0,0,0,0,0,330000,浙江省,0,0,0,0,0,0,330000,浙江省,0,0,0,0,0,0,330000,浙江省,0,0,0,0,0,0,330000,浙江省,10,16,0,0,0,0,330000,浙江省,10,10,5,5,0,0,330000,浙江省,26,38,5,10,0,0,330000,浙江省,14,29,20,30,0,0,330000,浙江省,0,27,19,62,0,0,330000,浙江省,0,20,42,104,0,0,330000,浙江省,68,63,24,128,0,0,330000,浙江省,52,115,45,173,0,0,330000,浙江省,105,101,123,296,0,0,330000,浙江省,103,117,132,428,0,0,330000,浙江省,102,154,109,537,0,0,330000,浙江省,111,202,62,599,0,0,330000,浙江省,109,207,62,661,0,0,330000,浙江省,102,201,63,724,0,0,330000,浙江省,173,258,105,829,0,0,330000,浙江省,144,299,66,895,0,0,330000,浙江省,155,322,59,954,0,0,330000,浙江省,236,422,52,1006,0,0,330000,浙江省,112,345,42,1048,0,0,330000,浙江省,77,345,27,1075,0,0,330000,浙江省,11,83,334,29,1104,0,0,330000,浙江省,11,63,305,25,1117,0,0,330000,浙江省,11,49,263,14,1131,0,0,330000,浙江省,11,28,196,14,1145,0,0,330000,浙江省,11,22,121,10,1155,0,0,330000,浙江省,11,23,88,7,1162,0,0,330000,浙江省,11,23,82,5,1167,0,0,330000,浙江省,11,13,70,4,1171,0,0,330000,浙江省,11,15,58,1,1172,0,0,330000,浙江省,11,9,53,1,1173,0,0,330000,浙江省,6,35,2,1175,0,0,330000,浙江省,4,26,28,1203,1,1,330000,浙江省,11,4,19,2,1205,0,1,330000,浙江省,11,2,19,0,1205,0,1,330000,浙江省,11,5,19,0,1205,0,1,330000,浙江省,11,1,17,0,1205,0,1,330000,浙江省,11,2,13,0,1205,0,1,330000,浙江省,11,0,10,0,1205,0,1,330000,浙江省,11,0,6,0,1205,0,1,330000,浙江省,11,0,3,0,1205,0,1,330000,浙江省,11,0,2,0,1205,0,1,330000,浙江省,11,4,6,1,1206,0,1,330000,浙江省,11,0,2,7,1213,0,1,330000,浙江省,11,2,4,0,1213,0,1,330000,浙江省,11,1,4,2,1215,0,1
11,340000,安徽省,0,0,0,0,0,0,340000,安徽省,0,0,0,0,0,0,340000,安徽省,0,0,0,0,0,0,340000,安徽省,0,0,0,0,0,0,340000,安徽省,1,1,0,0,0,0,340000,安徽省,2,3,0,0,0,0,340000,安徽省,6,8,1,1,0,0,340000,安徽省,14,14,14,15,0,0,340000,安徽省,26,20,24,39,0,0,340000,安徽省,18,15,21,60,0,0,340000,安徽省,36,43,10,70,0,0,340000,安徽省,38,42,36,106,0,0,340000,安徽省,43,55,46,152,0,0,340000,安徽省,45,67,48,200,0,0,340000,安徽省,71,98,37,237,0,0,340000,安徽省,77,117,60,297,0,0,340000,安徽省,82,160,43,340,0,0,340000,安徽省,75,153,68,408,0,0,340000,安徽省,57,124,72,480,0,0,340000,安徽省,63,130,50,530,0,0,340000,安徽省,84,141,61,591,0,0,340000,安徽省,78,141,74,665,0,0,340000,安徽省,70,140,68,733,0,0,340000,安徽省,48,126,46,779,1,1,340000,安徽省,12,61,115,51,830,2,3,340000,安徽省,12,33,92,30,860,1,4,340000,安徽省,12,39,79,29,889,0,4,340000,安徽省,12,38,69,22,910,1,5,340000,安徽省,12,16,52,24,934,1,6,340000,安徽省,12,13,45,16,950,0,6,340000,安徽省,12,6,32,12,962,0,6,340000,安徽省,12,9,34,11,973,0,6,340000,安徽省,12,7,20,9,982,0,6,340000,安徽省,12,0,13,4,986,0,6,340000,安徽省,0,11,1,987,0,6,340000,安徽省,1,7,1,988,0,6,340000,安徽省,12,0,4,1,989,0,6,340000,安徽省,12,0,4,0,989,0,6,340000,安徽省,12,0,4,0,989,0,6,340000,安徽省,12,0,2,0,989,0,6,340000,安徽省,12,0,0,0,989,0,6,340000,安徽省,12,0,0,0,989,0,6,340000,安徽省,12,0,0,1,990,0,6,340000,安徽省,12,0,0,0,990,0,6,340000,安徽省,12,0,0,0,990,0,6,340000,安徽省,12,0,0,0,990,0,6,340000,安徽省,12,0,0,0,990,0,6,340000,安徽省,12,0,0,0,990,0,6,340000,安徽省,12,0,0,0,990,0,6
12,350000,福建省,0,0,0,0,0,0,350000,福建省,0,0,0,0,0,0,350000,福建省,0,0,0,0,0,0,350000,福建省,0,0,0,0,0,0,350000,福建省,0,0,0,0,0,0,350000,福建省,0,0,0,0,0,0,350000,福建省,1,1,1,1,0,0,350000,福建省,4,4,4,5,0,0,350000,福建省,6,7,5,10,0,0,350000,福建省,25,27,8,18,0,0,350000,福建省,49,59,17,35,0,0,350000,福建省,37,68,24,59,0,0,350000,福建省,45,80,23,82,0,0,350000,福建省,54,110,19,101,0,0,350000,福建省,58,116,19,120,0,0,350000,福建省,53,111,24,144,0,0,350000,福建省,39,99,15,159,0,0,350000,福建省,47,96,20,179,0,0,350000,福建省,32,87,15,194,0,0,350000,福建省,40,91,11,205,0,0,350000,福建省,22,78,10,215,0,0,350000,福建省,45,94,9,224,0,0,350000,福建省,38,99,15,239,0,0,350000,福建省,22,85,11,250,0,0,350000,福建省,13,24,81,11,261,0,0,350000,福建省,13,19,72,6,267,0,0,350000,福建省,13,19,74,5,272,0,0,350000,福建省,13,16,69,7,279,0,0,350000,福建省,13,23,73,2,281,0,0,350000,福建省,13,6,55,4,285,0,0,350000,福建省,13,2,39,2,287,0,0,350000,福建省,13,3,31,3,290,0,0,350000,福建省,13,2,27,2,292,0,0,350000,福建省,13,4,25,1,293,0,0,350000,福建省,0,18,0,293,1,1,350000,福建省,0,6,0,293,0,1,350000,福建省,13,0,2,0,293,0,1,350000,福建省,13,0,0,0,293,0,1,350000,福建省,13,1,1,0,293,0,1,350000,福建省,13,0,0,1,294,0,1,350000,福建省,13,0,0,0,294,0,1,350000,福建省,13,0,0,2,296,0,1,350000,福建省,13,0,0,0,296,0,1,350000,福建省,13,0,0,0,296,0,1,350000,福建省,13,0,0,0,296,0,1,350000,福建省,13,0,0,0,296,0,1,350000,福建省,13,0,0,0,296,0,1,350000,福建省,13,0,0,0,296,0,1,350000,福建省,13,0,0,0,296,0,1
13,360000,江西省,0,0,0,0,0,0,360000,江西省,0,0,0,0,0,0,360000,江西省,0,0,0,0,0,0,360000,江西省,0,0,0,0,0,0,360000,江西省,0,2,0,0,0,0,360000,江西省,0,0,2,2,0,0,360000,江西省,5,5,1,3,0,0,360000,江西省,12,17,4,7,0,0,360000,江西省,27,38,11,18,0,0,360000,江西省,21,30,18,36,0,0,360000,江西省,50,68,12,48,0,0,360000,江西省,46,88,24,72,0,0,360000,江西省,60,107,37,109,0,0,360000,江西省,61,123,53,162,0,0,360000,江西省,106,197,78,240,0,0,360000,江西省,118,260,47,286,0,0,360000,江西省,100,312,47,333,0,0,360000,江西省,104,359,59,391,0,0,360000,江西省,92,319,85,476,0,0,360000,江西省,116,343,72,548,0,0,360000,江西省,72,312,52,600,0,0,360000,江西省,73,249,61,661,0,0,360000,江西省,69,218,37,698,0,0,360000,江西省,52,200,42,740,0,0,360000,江西省,14,57,183,32,771,1,1,360000,江西省,14,55,170,32,804,0,1,360000,江西省,14,37,155,40,844,0,1,360000,江西省,14,25,120,28,872,0,1,360000,江西省,14,43,106,28,900,0,1,360000,江西省,14,21,60,13,913,0,1,360000,江西省,14,7,31,13,925,0,1,360000,江西省,14,2,19,5,930,0,1,360000,江西省,14,0,11,3,933,0,1,360000,江西省,14,0,6,1,934,0,1,360000,江西省,0,4,1,934,0,1,360000,江西省,0,2,0,934,0,1,360000,江西省,14,0,2,0,934,0,1,360000,江西省,14,0,0,0,934,0,1,360000,江西省,14,0,0,0,934,0,1,360000,江西省,14,0,0,0,934,0,1,360000,江西省,14,0,0,0,934,0,1,360000,江西省,14,0,0,0,934,0,1,360000,江西省,14,0,0,1,935,0,1,360000,江西省,14,1,1,0,935,0,1,360000,江西省,14,0,0,0,935,0,1,360000,江西省,14,0,0,0,935,0,1,360000,江西省,14,1,1,0,935,0,1,360000,江西省,14,0,1,0,935,0,1,360000,江西省,14,0,1,0,935,0,1
14,370000,山东省,0,0,0,0,0,0,370000,山东省,0,0,0,0,0,0,370000,山东省,0,0,0,0,0,0,370000,山东省,0,0,0,0,0,0,370000,山东省,0,1,0,0,0,0,370000,山东省,0,0,1,1,0,0,370000,山东省,5,5,1,2,0,0,370000,山东省,9,9,7,9,0,0,370000,山东省,14,11,12,21,0,0,370000,山东省,12,11,18,39,0,0,370000,山东省,33,35,22,61,0,0,370000,山东省,24,42,26,87,0,0,370000,山东省,39,55,34,121,0,0,370000,山东省,37,79,24,145,0,0,370000,山东省,54,90,33,178,0,0,370000,山东省,30,83,24,202,0,0,370000,山东省,42,81,23,225,0,0,370000,山东省,28,62,21,246,0,0,370000,山东省,33,70,24,270,0,0,370000,山东省,49,94,28,298,0,0,370000,山东省,37,85,45,343,0,0,370000,山东省,48,96,36,379,0,0,370000,山东省,47,100,28,407,0,0,370000,山东省,40,88,28,435,1,1,370000,山东省,15,26,75,24,459,0,1,370000,山东省,15,28,66,27,486,0,1,370000,山东省,15,34,71,11,497,0,1,370000,山东省,15,21,69,9,506,1,2,370000,山东省,15,37,83,13,519,0,2,370000,山东省,15,27,73,11,530,0,2,370000,山东省,15,22,66,7,537,0,2,370000,山东省,15,21,67,4,541,0,2,370000,山东省,15,17,61,2,543,0,2,370000,山东省,15,8,38,1,544,1,3,370000,山东省,10,38,2,546,1,4,370000,山东省,14,30,202,748,0,4,370000,山东省,15,3,25,2,750,0,4,370000,山东省,15,2,18,4,754,0,4,370000,山东省,15,1,17,1,755,0,4,370000,山东省,15,0,14,0,755,2,6,370000,山东省,15,1,4,1,756,0,6,370000,山东省,15,0,2,0,756,0,6,370000,山东省,15,0,1,0,756,0,6,370000,山东省,15,0,0,0,756,0,6,370000,山东省,15,0,0,0,756,0,6,370000,山东省,15,0,0,2,758,0,6,370000,山东省,15,0,0,0,758,0,6,370000,山东省,15,0,0,0,758,0,6,370000,山东省,15,0,0,0,758,0,6
15,410000,河南省,0,0,0,0,0,0,410000,河南省,0,0,0,0,0,0,410000,河南省,0,0,0,0,0,0,410000,河南省,0,0,0,0,0,0,410000,河南省,0,0,0,0,0,0,410000,河南省,0,0,1,1,0,0,410000,河南省,0,0,4,5,0,0,410000,河南省,42,42,4,9,0,0,410000,河南省,54,116,23,32,0,0,410000,河南省,114,165,51,83,1,1,410000,河南省,112,212,45,128,0,1,410000,河南省,122,266,40,168,0,1,410000,河南省,232,411,38,206,1,2,410000,河南省,267,584,72,278,0,2,410000,河南省,280,735,74,352,0,2,410000,河南省,279,751,70,422,0,2,410000,河南省,254,754,71,493,0,2,410000,河南省,260,760,73,566,0,2,410000,河南省,248,678,109,675,0,2,410000,河南省,258,693,89,764,0,2,410000,河南省,273,688,87,851,0,2,410000,河南省,307,654,63,914,1,3,410000,河南省,261,651,67,981,1,4,410000,河南省,246,600,53,1033,2,6,410000,河南省,16,223,588,40,1073,0,6,410000,河南省,16,252,573,32,1105,1,7,410000,河南省,16,225,538,30,1135,1,8,410000,河南省,16,192,479,34,1169,2,10,410000,河南省,16,207,474,15,1184,1,11,410000,河南省,16,153,408,28,1212,2,13,410000,河南省,16,137,345,19,1231,0,13,410000,河南省,16,112,298,15,1246,3,16,410000,河南省,16,102,220,11,1257,3,19,410000,河南省,16,121,225,5,1262,0,19,410000,河南省,66,174,4,1265,0,19,410000,河南省,31,103,2,1267,0,19,410000,河南省,16,25,69,3,1270,0,19,410000,河南省,16,12,43,1,1271,0,19,410000,河南省,16,9,22,0,1271,0,19,410000,河南省,16,5,16,0,1271,0,19,410000,河南省,16,1,4,0,1271,0,19,410000,河南省,16,2,4,1,1272,1,20,410000,河南省,16,1,4,0,1272,0,20,410000,河南省,16,0,2,0,1272,1,21,410000,河南省,16,0,1,0,1272,1,22,410000,河南省,16,0,0,0,1272,0,22,410000,河南省,16,0,0,0,1272,0,22,410000,河南省,16,0,0,0,1272,0,22,410000,河南省,16,0,0,0,1272,0,22
16,420000,湖北省,0,0,4,45,1,2,420000,湖北省,0,0,17,62,0,2,420000,湖北省,0,0,59,121,1,3,420000,湖北省,0,0,77,198,1,4,420000,湖北省,0,11,72,270,2,6,420000,湖北省,0,0,105,375,3,9,420000,湖北省,159,279,69,444,8,17,420000,湖北省,417,710,105,549,7,24,420000,湖北省,704,1405,180,729,15,39,420000,湖北省,712,1887,323,1052,13,52,420000,湖北省,2793,4472,371,1423,24,76,420000,湖北省,1191,5324,1291,2714,24,100,420000,湖北省,1876,6940,840,3554,25,125,420000,湖北省,2493,9033,1032,4586,37,162,420000,湖北省,2867,11272,1220,5806,42,204,420000,湖北省,3097,13577,1347,7153,45,249,420000,湖北省,2606,14872,1921,9074,45,294,420000,湖北省,3260,16898,2103,11177,56,350,420000,湖北省,3182,18549,2345,13522,64,414,420000,湖北省,1957,18447,3156,16678,65,479,420000,湖北省,3230,19728,2987,19665,70,549,420000,湖北省,2622,21261,2447,22112,69,618,420000,湖北省,2073,22433,2841,24953,81,699,420000,湖北省,2067,23638,2147,27100,81,780,420000,湖北省,17,2272,18438,2618,29631,91,871,420000,湖北省,17,1814,16687,2097,31728,103,974,420000,湖北省,17,1685,11295,1638,33366,94,1068,420000,湖北省,17,1377,9028,14840,48206,242,1310,420000,湖北省,17,1154,6169,4823,51986,116,1318,420000,湖北省,17,1216,5534,2420,54406,139,1457,420000,湖北省,17,1036,5243,1843,56249,139,1596,420000,湖北省,17,909,4826,1933,58182,100,1696,420000,湖北省,17,788,4194,1807,59989,93,1789,420000,湖北省,17,596,3462,1693,61682,132,1921,420000,湖北省,880,3456,775,62457,108,2029,420000,湖北省,1279,4094,631,63088,115,2144,420000,湖北省,17,1125,4490,366,63454,106,2250,420000,湖北省,17,631,3363,630,64084,96,2346,420000,湖北省,17,450,2770,398,64287,149,2495,420000,湖北省,17,373,2292,499,64786,68,2563,420000,湖北省,17,311,2067,401,65187,52,2615,420000,湖北省,17,403,2019,409,65596,26,2641,420000,湖北省,17,332,1989,318,65914,41,2682,420000,湖北省,17,159,1171,423,66337,45,2727,420000,湖北省,17,64,646,570,66907,34,2761,420000,湖北省,17,80,527,196,67103,42,2803,420000,湖北省,17,64,434,114,67217,31,2834,420000,湖北省,17,52,340,115,67332,37,2871,420000,湖北省,17,67,315,134,67466,31,2902
17,430000,湖南省,0,0,0,0,0,0,430000,湖南省,0,0,0,0,0,0,430000,湖南省,0,0,0,0,0,0,430000,湖南省,0,0,0,0,0,0,430000,湖南省,0,0,0,0,0,0,430000,湖南省,0,0,1,1,0,0,430000,湖南省,10,10,3,4,0,0,430000,湖南省,20,25,5,9,0,0,430000,湖南省,25,35,15,24,0,0,430000,湖南省,34,25,45,69,0,0,430000,湖南省,47,42,31,100,0,0,430000,湖南省,53,52,43,143,0,0,430000,湖南省,114,85,78,221,0,0,430000,湖南省,202,223,56,277,0,0,430000,湖南省,152,303,55,332,0,0,430000,湖南省,223,426,57,389,0,0,430000,湖南省,186,434,74,463,0,0,430000,湖南省,183,351,58,521,0,0,430000,湖南省,137,289,72,593,0,0,430000,湖南省,142,211,68,661,0,0,430000,湖南省,167,207,50,711,0,0,430000,湖南省,122,183,61,772,0,0,430000,湖南省,113,154,31,803,0,0,430000,湖南省,107,155,35,838,1,1,430000,湖南省,18,88,134,41,879,0,1,430000,湖南省,18,93,136,33,912,0,1,430000,湖南省,18,94,135,34,946,1,2,430000,湖南省,18,60,96,22,968,0,2,430000,湖南省,18,53,67,20,988,0,2,430000,湖南省,18,50,70,13,1001,0,2,430000,湖南省,18,36,65,3,1004,1,3,430000,湖南省,18,14,24,2,1006,0,3,430000,湖南省,18,15,22,1,1007,1,4,430000,湖南省,18,12,17,1,1008,0,4,430000,湖南省,5,7,2,1010,0,4,430000,湖南省,5,7,1,1011,0,4,430000,湖南省,18,2,4,2,1013,0,4,430000,湖南省,18,0,0,3,1016,0,4,430000,湖南省,18,1,1,0,1016,0,4,430000,湖南省,18,1,2,0,1016,0,4,430000,湖南省,18,1,2,0,1016,0,4,430000,湖南省,18,0,0,1,1017,0,4,430000,湖南省,18,0,0,0,1017,0,4,430000,湖南省,18,1,1,1,1018,0,4,430000,湖南省,18,0,0,0,1018,0,4,430000,湖南省,18,0,0,0,1018,0,4,430000,湖南省,18,0,0,0,1018,0,4,430000,湖南省,18,0,0,0,1018,0,4,430000,湖南省,18,0,0,0,1018,0,4
18,440000,广东省,0,0,0,0,0,0,440000,广东省,0,0,0,0,0,0,440000,广东省,0,0,0,0,0,0,440000,广东省,0,0,0,0,0,0,440000,广东省,4,7,0,14,0,0,440000,广东省,1,1,12,26,0,0,440000,广东省,7,7,6,32,0,0,440000,广东省,10,17,21,53,0,0,440000,广东省,30,18,25,78,0,0,440000,广东省,45,40,20,98,0,0,440000,广东省,73,54,48,146,0,0,440000,广东省,47,73,42,188,0,0,440000,广东省,91,122,53,241,0,0,440000,广东省,78,137,70,311,0,0,440000,广东省,77,151,82,393,0,0,440000,广东省,43,126,127,520,0,0,440000,广东省,69,157,85,604,0,0,440000,广东省,86,205,79,683,0,0,440000,广东省,48,180,114,797,0,0,440000,广东省,34,136,73,870,0,0,440000,广东省,61,148,74,944,0,0,440000,广东省,71,170,74,1018,1,1,440000,广东省,65,195,57,1075,0,1,440000,广东省,62,208,45,1120,0,1,440000,广东省,19,33,169,31,1151,0,1,440000,广东省,19,36,148,26,1177,0,1,440000,广东省,19,39,135,42,1219,0,1,440000,广东省,19,29,123,22,1241,1,2,440000,广东省,19,8,17,20,1261,0,2,440000,广东省,19,9,12,33,1294,0,2,440000,广东省,19,2,2,22,1316,0,2,440000,广东省,19,1,1,6,1322,2,4,440000,广东省,19,0,0,6,1328,0,4,440000,广东省,19,1,1,3,1331,1,5,440000,广东省,1,1,1,1332,0,5,440000,广东省,1,1,1,1333,0,5,440000,广东省,19,1,1,6,1339,0,5,440000,广东省,19,0,0,3,1342,1,6,440000,广东省,19,0,0,3,1345,0,6,440000,广东省,19,0,0,2,1347,1,7,440000,广东省,19,0,0,0,1347,0,7,440000,广东省,19,0,0,0,1347,0,7,440000,广东省,19,2,2,1,1348,0,7,440000,广东省,19,0,0,1,1349,0,7,440000,广东省,19,1,1,0,1349,0,7,440000,广东省,19,0,0,1,1350,0,7,440000,广东省,19,0,0,0,1350,0,7,440000,广东省,19,0,0,0,1350,0,7,440000,广东省,19,0,0,0,1350,0,7
