,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID_1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡,adcode,name,OBJECTID1,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
19,450000,广西壮族自治区,0,0,0,0,0,0,450000,广西壮族自治区,0,0,0,0,0,0,450000,广西壮族自治区,0,0,0,0,0,0,450000,广西壮族自治区,0,0,0,0,0,0,450000,广西壮族自治区,0,1,0,0,0,0,450000,广西壮族自治区,1,2,0,0,0,0,450000,广西壮族自治区,3,3,5,5,0,0,450000,广西壮族自治区,0,2,8,13,0,0,450000,广西壮族自治区,13,6,10,23,0,0,450000,广西壮族自治区,21,21,10,33,0,0,450000,广西壮族自治区,35,40,13,46,0,0,450000,广西壮族自治区,49,11,5,51,0,0,450000,广西壮族自治区,74,118,7,58,0,0,450000,广西壮族自治区,102,155,20,78,0,0,450000,广西壮族自治区,117,256,9,87,0,0,450000,广西壮族自治区,116,288,13,100,0,0,450000,广西壮族自治区,136,319,11,111,0,0,450000,广西壮族自治区,128,330,16,127,0,0,450000,广西壮族自治区,130,364,12,139,0,0,450000,广西壮族自治区,155,396,11,150,0,0,450000,广西壮族自治区,144,391,18,168,0,0,450000,广西壮族自治区,142,340,4,172,0,0,450000,广西壮族自治区,123,295,11,183,0,0,450000,广西壮族自治区,113,283,12,195,1,1,450000,广西壮族自治区,20,81,243,15,210,0,1,450000,广西壮族自治区,20,114,257,5,215,0,1,450000,广西壮族自治区,20,106,248,7,222,0,1,450000,广西壮族自治区,20,81,251,0,222,1,2,450000,广西壮族自治区,20,79,232,4,226,0,2,450000,广西壮族自治区,20,44,181,9,235,0,2,450000,广西壮族自治区,20,49,156,2,237,0,2,450000,广西壮族自治区,20,26,122,1,238,0,2,450000,广西壮族自治区,20,21,93,4,242,0,2,450000,广西壮族自治区,20,12,69,2,244,0,2,450000,广西壮族自治区,17,65,1,245,0,2,450000,广西壮族自治区,15,67,1,246,0,2,450000,广西壮族自治区,20,6,56,3,249,0,2,450000,广西壮族自治区,20,12,58,0,249,0,2,450000,广西壮族自治区,20,4,46,2,251,0,2,450000,广西壮族自治区,20,3,21,1,252,0,2,450000,广西壮族自治区,20,2,10,0,252,0,2,450000,广西壮族自治区,20,0,5,0,252,0,2,450000,广西壮族自治区,20,0,2,0,252,0,2,450000,广西壮族自治区,20,0,0,0,252,0,2,450000,广西壮族自治区,20,0,0,0,252,0,2,450000,广西壮族自治区,20,0,0,0,252,0,2,450000,广西壮族自治区,20,0,0,0,252,0,2,450000,广西壮族自治区,20,0,0,0,252,0,2,450000,广西壮族自治区,20,0,0,0,252,0,2
20,460000,海南省,0,0,0,0,0,0,460000,海南省,0,0,0,0,0,0,460000,海南省,0,0,0,0,0,0,460000,海南省,0,0,0,0,0,0,460000,海南省,1,1,0,0,0,0,460000,海南省,0,1,0,0,0,0,460000,海南省,0,0,4,4,0,0,460000,海南省,0,0,1,5,0,0,460000,海南省,0,0,5,10,0,0,460000,海南省,0,1,10,20,0,0,460000,海南省,0,0,7,27,0,0,460000,海南省,21,21,11,38,1,1,460000,海南省,27,48,5,43,0,1,460000,海南省,18,66,3,46,0,1,460000,海南省,28,73,3,49,0,1,460000,海南省,30,95,8,57,0,1,460000,海南省,38,101,6,63,0,1,460000,海南省,50,113,7,70,0,1,460000,海南省,31,109,9,79,0,1,460000,海南省,41,118,11,89,0,1,460000,海南省,38,132,11,100,0,1,460000,海南省,53,150,11,111,1,2,460000,海南省,79,203,12,123,0,2,460000,海南省,68,230,6,128,0,2,460000,海南省,21,50,219,8,136,1,3,460000,海南省,21,58,187,6,142,0,3,460000,海南省,21,66,206,3,145,0,3,460000,海南省,21,60,176,12,157,1,4,460000,海南省,21,32,170,0,157,0,4,460000,海南省,21,36,141,5,162,0,4,460000,海南省,21,30,141,0,162,0,4,460000,海南省,21,27,119,0,162,0,4,460000,海南省,21,22,114,1,163,0,4,460000,海南省,21,14,86,0,163,0,4,460000,海南省,16,71,5,168,0,4,460000,海南省,16,59,0,168,0,4,460000,海南省,21,11,46,0,168,0,4,460000,海南省,21,14,36,0,168,0,4,460000,海南省,21,10,37,0,168,1,5,460000,海南省,21,9,38,0,168,0,5,460000,海南省,21,6,33,0,168,0,5,460000,海南省,21,4,24,0,168,0,5,460000,海南省,21,5,22,0,168,0,5,460000,海南省,21,5,12,0,168,0,5,460000,海南省,21,3,15,0,168,0,5,460000,海南省,21,1,7,0,168,0,5,460000,海南省,21,0,2,0,168,0,5,460000,海南省,21,0,0,0,168,0,5,460000,海南省,21,1,1,0,168,0,5
21,500000,重庆市,0,0,0,0,0,0,500000,重庆市,0,0,0,0,0,0,500000,重庆市,0,0,0,0,0,0,500000,重庆市,0,0,0,0,0,0,500000,重庆市,0,0,0,0,0,0,500000,重庆市,0,0,5,5,0,0,500000,重庆市,13,13,4,9,0,0,500000,重庆市,53,71,18,27,0,0,500000,重庆市,55,86,30,57,0,0,500000,重庆市,106,146,18,75,0,0,500000,重庆市,117,188,35,110,0,0,500000,重庆市,31,219,22,132,0,0,500000,重庆市,108,246,15,147,0,0,500000,重庆市,152,279,18,165,0,0,500000,重庆市,192,378,41,206,0,0,500000,重庆市,185,408,32,238,1,1,500000,重庆市,175,425,24,262,0,1,500000,重庆市,178,398,38,300,1,2,500000,重庆市,170,387,37,337,0,2,500000,重庆市,175,397,29,366,0,2,500000,重庆市,171,379,23,389,0,2,500000,重庆市,177,408,22,411,0,2,500000,重庆市,162,392,15,426,0,2,500000,重庆市,156,409,20,446,0,2,500000,重庆市,22,167,418,22,468,0,2,500000,重庆市,22,164,427,18,486,0,2,500000,重庆市,22,154,428,19,505,1,3,500000,重庆市,22,148,441,13,518,0,3,500000,重庆市,22,138,427,11,529,1,4,500000,重庆市,22,98,313,8,537,1,5,500000,重庆市,22,75,246,7,544,0,5,500000,重庆市,22,63,183,7,551,0,5,500000,重庆市,22,50,162,2,553,0,5,500000,重庆市,22,41,129,2,555,0,5,500000,重庆市,45,98,5,560,0,5,500000,重庆市,28,71,7,567,1,6,500000,重庆市,22,15,40,5,572,0,6,500000,重庆市,22,21,38,1,573,0,6,500000,重庆市,22,8,32,2,575,0,6,500000,重庆市,22,13,25,1,576,0,6,500000,重庆市,22,9,23,0,576,0,6,500000,重庆市,22,11,22,0,576,0,6,500000,重庆市,22,6,19,0,576,0,6,500000,重庆市,22,7,13,0,576,0,6,500000,重庆市,22,6,12,0,576,0,6,500000,重庆市,22,1,6,0,576,0,6,500000,重庆市,22,2,3,0,576,0,6,500000,重庆市,22,1,3,0,576,0,6,500000,重庆市,22,2,2,0,576,0,6
22,510000,四川省,0,0,0,0,0,0,510000,四川省,0,0,0,0,0,0,510000,四川省,0,0,0,0,0,0,510000,四川省,0,0,0,0,0,0,510000,四川省,1,3,0,0,0,0,510000,四川省,2,5,2,2,0,0,510000,四川省,5,7,3,5,0,0,510000,四川省,6,10,10,15,0,0,510000,四川省,25,25,13,28,0,0,510000,四川省,26,34,16,44,0,0,510000,四川省,79,92,25,69,0,0,510000,四川省,78,138,21,90,0,0,510000,四川省,87,182,18,108,0,0,510000,四川省,106,243,34,142,1,1,510000,四川省,97,241,36,177,0,1,510000,四川省,81,256,30,207,0,1,510000,四川省,87,247,24,231,0,1,510000,四川省,103,268,23,254,0,1,510000,四川省,82,258,28,282,0,1,510000,四川省,106,281,19,301,0,1,510000,四川省,135,340,20,321,0,1,510000,四川省,157,409,23,344,0,1,510000,四川省,160,432,19,363,0,1,510000,四川省,113,431,23,386,0,1,510000,四川省,23,141,461,19,405,0,1,510000,四川省,23,116,475,12,417,0,1,510000,四川省,23,123,432,19,436,0,1,510000,四川省,23,94,367,15,451,0,1,510000,四川省,23,77,326,12,463,0,1,510000,四川省,23,72,310,7,470,0,1,510000,四川省,23,46,213,11,481,2,3,510000,四川省,23,40,178,14,495,0,3,510000,四川省,23,28,157,13,508,0,3,510000,四川省,23,30,105,6,514,0,3,510000,四川省,21,85,6,520,0,3,510000,四川省,15,56,5,525,0,3,510000,四川省,23,21,53,1,526,0,3,510000,四川省,23,15,51,0,526,0,3,510000,四川省,23,8,36,1,527,0,3,510000,四川省,23,7,28,2,529,0,3,510000,四川省,23,7,20,2,531,0,3,510000,四川省,23,4,14,3,534,0,3,510000,四川省,23,4,13,4,538,0,3,510000,四川省,23,2,7,0,538,0,3,510000,四川省,23,1,5,0,538,0,3,510000,四川省,23,2,3,0,538,0,3,510000,四川省,23,0,1,0,538,0,3,510000,四川省,23,1,2,0,538,0,3,510000,四川省,23,0,1,1,539,0,3
23,520000,贵州省,0,0,0,0,0,0,520000,贵州省,0,0,0,0,0,0,520000,贵州省,0,0,0,0,0,0,520000,贵州省,0,0,0,0,0,0,520000,贵州省,1,1,0,0,0,0,520000,贵州省,0,1,0,0,0,0,520000,贵州省,0,0,3,3,0,0,520000,贵州省,0,0,0,3,0,0,520000,贵州省,0,0,1,4,0,0,520000,贵州省,2,2,1,5,0,0,520000,贵州省,3,3,2,7,0,0,520000,贵州省,0,1,2,9,0,0,520000,贵州省,3,3,0,9,0,0,520000,贵州省,6,6,3,12,0,0,520000,贵州省,72,75,3,15,0,0,520000,贵州省,27,67,14,29,0,0,520000,贵州省,24,59,9,38,0,0,520000,贵州省,18,41,8,46,0,0,520000,贵州省,17,33,10,56,0,0,520000,贵州省,12,33,8,64,0,0,520000,贵州省,18,37,5,69,1,1,520000,贵州省,38,54,8,77,0,1,520000,贵州省,24,61,12,89,0,1,520000,贵州省,38,82,7,96,0,1,520000,贵州省,24,11,75,13,109,0,1,520000,贵州省,24,10,67,9,118,0,1,520000,贵州省,24,21,53,13,131,0,1,520000,贵州省,24,17,50,4,135,0,1,520000,贵州省,24,16,47,5,140,0,1,520000,贵州省,24,4,38,3,143,0,1,520000,贵州省,24,8,42,1,144,0,1,520000,贵州省,24,2,34,2,146,0,1,520000,贵州省,24,2,23,0,146,0,1,520000,贵州省,24,2,19,0,146,1,2,520000,贵州省,2,14,0,146,0,2,520000,贵州省,3,11,0,146,0,2,520000,贵州省,24,2,10,0,146,0,2,520000,贵州省,24,0,8,0,146,0,2,520000,贵州省,24,2,9,0,146,0,2,520000,贵州省,24,0,3,0,146,0,2,520000,贵州省,24,0,2,0,146,0,2,520000,贵州省,24,1,2,0,146,0,2,520000,贵州省,24,1,3,0,146,0,2,520000,贵州省,24,1,2,0,146,0,2,520000,贵州省,24,0,1,0,146,0,2,520000,贵州省,24,0,0,0,146,0,2,520000,贵州省,24,1,1,0,146,0,2,520000,贵州省,24,0,1,0,146,0,2,520000,贵州省,24,0,1,0,146,0,2
24,530000,云南省,0,0,0,0,0,0,530000,云南省,0,0,0,0,0,0,530000,云南省,0,0,0,0,0,0,530000,云南省,0,0,0,0,0,0,530000,云南省,1,1,0,0,0,0,530000,云南省,0,0,1,1,0,0,530000,云南省,0,0,0,1,0,0,530000,云南省,1,1,1,2,0,0,530000,云南省,4,4,3,5,0,0,530000,云南省,29,29,6,11,0,0,530000,云南省,55,75,10,21,0,0,530000,云南省,51,104,11,32,0,0,530000,云南省,65,163,19,51,0,0,530000,云南省,90,191,19,70,0,0,530000,云南省,107,236,10,80,0,0,530000,云南省,90,228,11,91,0,0,530000,云南省,90,261,8,99,0,0,530000,云南省,85,252,10,109,0,0,530000,云南省,64,225,8,117,0,0,530000,云南省,55,172,5,122,0,0,530000,云南省,28,149,6,128,0,0,530000,云南省,50,123,7,135,0,0,530000,云南省,63,144,3,138,0,0,530000,云南省,37,146,2,140,0,0,530000,云南省,25,38,125,1,141,0,0,530000,云南省,25,30,109,8,149,0,0,530000,云南省,25,28,89,5,154,0,0,530000,云南省,25,45,100,1,155,0,0,530000,云南省,25,29,96,7,162,0,0,530000,云南省,25,39,103,6,168,0,0,530000,云南省,25,37,108,1,169,0,0,530000,云南省,25,22,100,2,171,0,0,530000,云南省,25,18,83,1,172,0,0,530000,云南省,25,16,64,1,173,0,0,530000,云南省,21,61,0,172,1,1,530000,云南省,21,58,2,174,1,2,530000,云南省,25,14,59,0,174,0,2,530000,云南省,25,11,45,0,174,0,2,530000,云南省,25,7,32,0,174,0,2,530000,云南省,25,9,26,0,174,0,2,530000,云南省,25,7,23,0,174,0,2,530000,云南省,25,3,17,0,174,0,2,530000,云南省,25,4,12,0,174,0,2,530000,云南省,25,3,11,0,174,0,2,530000,云南省,25,0,5,0,174,0,2,530000,云南省,25,3,6,0,174,0,2,530000,云南省,25,1,4,0,174,0,2,530000,云南省,25,2,5,0,174,0,2,530000,云南省,25,2,5,0,174,0,2
25,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,0,0,0,0,0,0,540000,西藏自治区,1,1,0,0,0,0,540000,西藏自治区,0,0,1,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0,540000,西藏自治区,26,0,0,0,1,0,0
26,610000,陕西省,0,0,0,0,0,0,610000,陕西省,0,0,0,0,0,0,610000,陕西省,0,0,0,0,0,0,610000,陕西省,0,0,0,0,0,0,610000,陕西省,0,0,0,0,0,0,610000,陕西省,0,0,0,0,0,0,610000,陕西省,0,0,0,0,0,0,610000,陕西省,0,0,3,3,0,0,610000,陕西省,0,0,2,5,0,0,610000,陕西省,0,0,10,15,0,0,610000,陕西省,0,0,7,22,0,0,610000,陕西省,0,0,13,35,0,0,610000,陕西省,0,0,11,46,0,0,610000,陕西省,67,116,17,63,0,0,610000,陕西省,47,132,24,87,0,0,610000,陕西省,47,158,15,101,0,0,610000,陕西省,77,201,15,116,0,0,610000,陕西省,36,205,12,128,0,0,610000,陕西省,53,221,14,142,0,0,610000,陕西省,41,215,23,165,0,0,610000,陕西省,71,238,8,173,0,0,610000,陕西省,70,260,11,184,0,0,610000,陕西省,92,321,11,195,0,0,610000,陕西省,73,343,13,208,0,0,610000,陕西省,27,88,375,5,213,0,0,610000,陕西省,27,71,389,6,219,0,0,610000,陕西省,27,35,367,6,225,0,0,610000,陕西省,27,53,304,4,229,0,0,610000,陕西省,27,37,267,1,230,0,0,610000,陕西省,27,37,245,2,232,0,0,610000,陕西省,27,15,189,4,236,0,0,610000,陕西省,27,15,111,4,240,0,0,610000,陕西省,27,22,79,0,240,0,0,610000,陕西省,27,19,66,2,242,0,0,610000,陕西省,8,52,3,245,1,1,610000,陕西省,8,46,0,245,0,1,610000,陕西省,27,3,34,0,245,0,1,610000,陕西省,27,2,25,0,245,0,1,610000,陕西省,27,0,11,0,245,0,1,610000,陕西省,27,0,8,0,245,0,1,610000,陕西省,27,0,2,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1,610000,陕西省,27,0,0,0,245,0,1
27,620000,甘肃省,0,0,0,0,0,0,620000,甘肃省,0,0,0,0,0,0,620000,甘肃省,0,0,0,0,0,0,620000,甘肃省,0,0,0,0,0,0,620000,甘肃省,0,0,0,0,0,0,620000,甘肃省,0,0,0,0,0,0,620000,甘肃省,0,0,0,0,0,0,620000,甘肃省,0,0,2,2,0,0,620000,甘肃省,0,0,2,4,0,0,620000,甘肃省,0,0,3,7,0,0,620000,甘肃省,6,6,7,14,0,0,620000,甘肃省,0,2,5,19,0,0,620000,甘肃省,5,5,5,24,0,0,620000,甘肃省,6,8,2,26,0,0,620000,甘肃省,5,15,4,30,0,0,620000,甘肃省,1,15,6,35,0,0,620000,甘肃省,10,20,5,40,0,0,620000,甘肃省,3,9,11,51,0,0,620000,甘肃省,7,9,5,56,0,0,620000,甘肃省,10,18,1,57,0,0,620000,甘肃省,8,16,5,62,0,0,620000,甘肃省,6,21,8,70,0,0,620000,甘肃省,8,23,1,71,1,1,620000,甘肃省,6,21,10,81,0,1,620000,甘肃省,28,2,14,5,85,1,2,620000,甘肃省,28,8,20,1,86,0,2,620000,甘肃省,28,6,18,0,86,0,2,620000,甘肃省,28,3,23,1,87,0,2,620000,甘肃省,28,0,12,3,90,0,2,620000,甘肃省,28,4,12,0,90,0,2,620000,甘肃省,28,1,10,0,90,0,2,620000,甘肃省,28,0,10,1,91,0,2,620000,甘肃省,28,0,2,0,91,0,2,620000,甘肃省,28,0,2,0,91,0,2,620000,甘肃省,0,0,0,91,0,2,620000,甘肃省,1,1,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2,620000,甘肃省,28,0,0,0,91,0,2
28,630000,青海省,0,0,0,0,0,0,630000,青海省,0,0,0,0,0,0,630000,青海省,0,0,0,0,0,0,630000,青海省,0,0,0,0,0,0,630000,青海省,0,0,0,0,0,0,630000,青海省,0,0,0,0,0,0,630000,青海省,0,0,0,0,0,0,630000,青海省,0,0,0,0,0,0,630000,青海省,1,1,0,0,0,0,630000,青海省,0,0,1,1,0,0,630000,青海省,3,0,3,4,0,0,630000,青海省,0,0,2,6,0,0,630000,青海省,0,0,0,6,0,0,630000,青海省,1,1,0,6,0,0,630000,青海省,0,0,2,8,0,0,630000,青海省,1,1,0,8,0,0,630000,青海省,2,2,1,9,0,0,630000,青海省,0,0,4,13,0,0,630000,青海省,0,0,2,15,0,0,630000,青海省,0,0,2,17,0,0,630000,青海省,0,0,1,18,0,0,630000,青海省,0,0,0,18,0,0,630000,青海省,0,0,0,18,0,0,630000,青海省,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,0,0,0,18,0,0,630000,青海省,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,18,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0,630000,青海省,29,0,0,0,18,0,0
29,640000,宁夏回族自治区,0,0,0,0,0,0,640000,宁夏回族自治区,0,0,0,0,0,0,640000,宁夏回族自治区,0,0,0,0,0,0,640000,宁夏回族自治区,0,0,0,0,0,0,640000,宁夏回族自治区,1,1,0,0,0,0,640000,宁夏回族自治区,0,1,0,0,0,0,640000,宁夏回族自治区,0,0,1,1,0,0,640000,宁夏回族自治区,1,1,1,2,0,0,640000,宁夏回族自治区,1,1,1,3,0,0,640000,宁夏回族自治区,0,1,1,4,0,0,640000,宁夏回族自治区,0,0,3,7,0,0,640000,宁夏回族自治区,0,0,4,11,0,0,640000,宁夏回族自治区,2,2,1,12,0,0,640000,宁夏回族自治区,0,1,5,17,0,0,640000,宁夏回族自治区,0,1,4,21,0,0,640000,宁夏回族自治区,0,1,5,26,0,0,640000,宁夏回族自治区,7,8,2,28,0,0,640000,宁夏回族自治区,4,12,3,31,0,0,640000,宁夏回族自治区,6,18,3,34,0,0,640000,宁夏回族自治区,6,24,0,34,0,0,640000,宁夏回族自治区,15,39,6,40,0,0,640000,宁夏回族自治区,6,45,3,43,0,0,640000,宁夏回族自治区,4,41,2,45,0,0,640000,宁夏回族自治区,6,36,0,45,0,0,640000,宁夏回族自治区,30,6,34,4,49,0,0,640000,宁夏回族自治区,30,2,33,4,53,0,0,640000,宁夏回族自治区,30,5,31,5,58,0,0,640000,宁夏回族自治区,30,3,28,6,64,0,0,640000,宁夏回族自治区,30,5,30,3,67,0,0,640000,宁夏回族自治区,30,3,29,3,70,0,0,640000,宁夏回族自治区,30,5,30,0,70,0,0,640000,宁夏回族自治区,30,0,28,0,70,0,0,640000,宁夏回族自治区,30,4,27,0,70,0,0,640000,宁夏回族自治区,30,0,25,1,71,0,0,640000,宁夏回族自治区,0,25,0,71,0,0,640000,宁夏回族自治区,1,21,0,71,0,0,640000,宁夏回族自治区,30,1,11,0,71,0,0,640000,宁夏回族自治区,30,1,7,0,71,0,0,640000,宁夏回族自治区,30,0,7,0,71,0,0,640000,宁夏回族自治区,30,0,5,0,71,0,0,640000,宁夏回族自治区,30,2,5,0,71,0,0,640000,宁夏回族自治区,30,0,4,1,72,0,0,640000,宁夏回族自治区,30,0,4,0,72,0,0,640000,宁夏回族自治区,30,0,4,1,73,0,0,640000,宁夏回族自治区,30,1,5,0,73,0,0,640000,宁夏回族自治区,30,0,4,1,74,0,0,640000,宁夏回族自治区,30,0,4,0,74,0,0,640000,宁夏回族自治区,30,0,1,1,75,0,0,640000,宁夏回族自治区,30,0,1,0,75,0,0
30,650000,新疆维吾尔自治区,0,0,0,0,0,0,650000,新疆维吾尔自治区,0,0,0,0,0,0,650000,新疆维吾尔自治区,0,0,0,0,0,0,650000,新疆维吾尔自治区,0,0,0,0,0,0,650000,新疆维吾尔自治区,0,0,0,0,0,0,650000,新疆维吾尔自治区,0,0,0,0,0,0,650000,新疆维吾尔自治区,0,0,0,0,0,0,650000,新疆维吾尔自治区,3,3,2,2,0,0,650000,新疆维吾尔自治区,0,0,1,3,0,0,650000,新疆维吾尔自治区,1,1,1,4,0,0,650000,新疆维吾尔自治区,7,6,1,5,0,0,650000,新疆维吾尔自治区,2,2,5,10,0,0,650000,新疆维吾尔自治区,1,3,3,13,0,0,650000,新疆维吾尔自治区,20,22,1,14,0,0,650000,新疆维吾尔自治区,13,28,3,17,0,0,650000,新疆维吾尔自治区,6,19,1,18,0,0,650000,新疆维吾尔自治区,8,21,3,21,0,0,650000,新疆维吾尔自治区,12,26,3,24,0,0,650000,新疆维吾尔自治区,23,33,5,29,0,0,650000,新疆维吾尔自治区,19,46,3,32,0,0,650000,新疆维吾尔自治区,15,47,4,36,0,0,650000,新疆维吾尔自治区,16,39,3,39,0,0,650000,新疆维吾尔自治区,4,23,3,42,0,0,650000,新疆维吾尔自治区,20,38,3,45,0,0,650000,新疆维吾尔自治区,31,9,39,4,49,0,0,650000,新疆维吾尔自治区,31,1,33,6,55,0,0,650000,新疆维吾尔自治区,31,2,31,4,59,0,0,650000,新疆维吾尔自治区,31,0,27,4,63,1,1,650000,新疆维吾尔自治区,31,5,25,2,65,0,1,650000,新疆维吾尔自治区,31,4,26,5,70,0,1,650000,新疆维吾尔自治区,31,3,22,1,71,0,1,650000,新疆维吾尔自治区,31,2,20,2,73,0,1,650000,新疆维吾尔自治区,31,1,19,1,76,0,1,650000,新疆维吾尔自治区,31,0,18,0,76,0,1,650000,新疆维吾尔自治区,0,17,0,76,0,1,650000,新疆维吾尔自治区,0,11,0,76,0,1,650000,新疆维吾尔自治区,31,0,6,0,76,1,2,650000,新疆维吾尔自治区,31,0,4,0,76,0,2,650000,新疆维吾尔自治区,31,0,3,0,76,0,2,650000,新疆维吾尔自治区,31,0,3,0,76,0,2,650000,新疆维吾尔自治区,31,0,2,0,76,0,2,650000,新疆维吾尔自治区,31,0,2,0,76,0,2,650000,新疆维吾尔自治区,31,0,2,0,76,1,3,650000,新疆维吾尔自治区,31,0,2,0,76,0,3,650000,新疆维吾尔自治区,31,0,2,0,76,0,3,650000,新疆维吾尔自治区,31,0,0,0,76,0,3,650000,新疆维吾尔自治区,31,0,0,0,76,0,3,650000,新疆维吾尔自治区,31,0,0,0,76,0,3,650000,新疆维吾尔自治区,31,0,0,0,76,0,3
