name,2020/1/16,2020/1/17,2020/1/18,2020/1/19,2020/1/20,2020/1/21,2020/1/22,2020/1/23,2020/1/24,2020/1/25,2020/1/26,2020/1/27,2020/1/28,2020/1/29,2020/1/30,2020/1/31,2020/2/1,2020/2/2,2020/2/3,2020/2/4,2020/2/5,2020/2/6,2020/2/7,2020/2/8,2020/2/9,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5
北京市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,160,170,157,163,184,207,236,218,194,167,155,122,116,128,145,125,114,104,100,94,73,57,46,38,33,39,42,37,38,34,
天津市,0,0,0,0,0,0,0,47,51,61,85,88,103,104,150,142,112,133,168,190,190,228,297,287,292,278,328,354,387,357,348,285,249,215,200,173,131,141,108,90,75,53,55,47,39,26,31,35,33,
河北省,0,0,0,0,0,0,0,0,0,5,13,20,56,68,78,88,104,108,93,117,133,117,81,76,61,44,43,37,39,33,26,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
山西省,0,0,0,0,0,1,1,22,19,28,57,44,41,54,67,75,64,64,62,42,42,54,58,71,63,58,65,72,71,62,43,32,26,22,11,11,12,11,12,10,9,9,5,0,0,0,0,0,0,
内蒙古自治区,0,0,0,0,0,0,0,2,5,0,1,2,3,0,1,4,7,4,2,1,5,9,12,11,12,10,11,13,12,16,19,17,16,17,17,16,15,14,14,13,11,11,10,10,8,8,2,1,1,
辽宁省,0,0,0,0,0,0,0,0,0,24,40,52,72,85,89,122,116,113,120,127,143,169,226,263,280,331,287,306,262,257,275,243,191,168,155,77,40,34,38,36,24,29,44,29,24,31,38,55,85,
吉林省,0,0,0,0,1,1,0,0,0,3,3,3,2,10,10,10,14,17,24,58,69,71,67,56,40,47,57,55,39,27,37,36,34,36,31,18,20,19,20,27,18,3,5,6,9,9,4,2,2,
黑龙江省,0,0,0,0,0,1,0,12,18,13,47,67,68,105,128,149,172,163,178,184,222,210,234,258,224,181,171,146,133,135,122,108,101,75,23,1,1,0,0,0,0,0,0,0,0,0,0,2,1,
上海市,0,0,0,0,7,10,16,34,72,95,90,129,167,180,164,167,168,173,168,194,196,166,181,205,223,180,177,183,156,143,142,117,97,127,115,107,100,99,90,64,78,74,64,57,32,17,19,26,32,
江苏省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,44,47,43,55,59,68,67,67,64,62,59,49,41,32,22,22,20,13,12,11,11,11,11,9,8,8,7,5,5,4,4,3,
浙江省,0,0,0,0,16,10,38,29,27,20,63,115,101,117,154,202,207,201,258,299,322,422,345,345,334,305,263,196,121,88,82,70,58,53,35,26,19,19,19,17,13,10,6,3,2,6,2,4,4,
安徽省,0,0,0,0,1,3,8,14,20,15,43,42,55,67,98,117,160,153,124,130,141,141,140,126,115,92,79,69,52,45,32,34,20,13,11,7,4,4,4,2,0,0,0,0,0,0,0,0,0,
福建省,0,0,0,0,0,0,1,4,7,27,59,68,80,110,116,111,99,96,87,91,78,94,99,85,81,72,74,69,73,55,39,31,27,25,18,6,2,0,1,0,0,0,0,0,0,0,0,0,0,
江西省,0,0,0,0,2,0,5,17,38,30,68,88,107,123,197,260,312,359,319,343,312,249,218,200,183,170,155,120,106,60,31,19,11,6,4,2,2,0,0,0,0,0,0,1,0,0,1,1,1,
山东省,0,0,0,0,1,0,5,9,11,11,35,42,55,79,90,83,81,62,70,94,85,96,100,88,75,66,71,69,83,73,66,67,61,38,38,30,25,18,17,14,4,2,1,0,0,0,0,0,0,
河南省,0,0,0,0,0,0,0,42,116,165,212,266,411,584,735,751,754,760,678,693,688,654,651,600,588,573,538,479,474,408,345,298,220,225,174,103,69,43,22,16,4,4,4,2,1,0,0,0,0,
湖北省,0,0,0,0,11,0,279,710,1405,1887,4472,5324,6940,9033,11272,13577,14872,16898,18549,18447,19728,21261,22433,23638,18438,16687,11295,9028,6169,5534,5243,4826,4194,3462,3456,4094,4490,3363,2770,2292,2067,2019,1989,1171,646,527,434,340,315,
湖南省,0,0,0,0,0,0,10,25,35,25,42,52,85,223,303,426,434,351,289,211,207,183,154,155,134,136,135,96,67,70,65,24,22,17,7,7,4,0,1,2,2,0,0,1,0,0,0,0,0,
广东省,0,0,0,0,7,1,7,17,18,40,54,73,122,137,151,126,157,205,180,136,148,170,195,208,169,148,135,123,17,12,2,1,0,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,
广西壮族自治区,0,0,0,0,1,2,3,2,6,21,40,11,118,155,256,288,319,330,364,396,391,340,295,283,243,257,248,251,232,181,156,122,93,69,65,67,56,58,46,21,10,5,2,0,0,0,0,0,0,
海南省,0,0,0,0,1,1,0,0,0,1,0,21,48,66,73,95,101,113,109,118,132,150,203,230,219,187,206,176,170,141,141,119,114,86,71,59,46,36,37,38,33,24,22,12,15,7,2,0,1,
重庆市,0,0,0,0,0,0,13,71,86,146,188,219,246,279,378,408,425,398,387,397,379,408,392,409,418,427,428,441,427,313,246,183,162,129,98,71,40,38,32,25,23,22,19,13,12,6,3,3,2,
四川省,0,0,0,0,3,5,7,10,25,34,92,138,182,243,241,256,247,268,258,281,340,409,432,431,461,475,432,367,326,310,213,178,157,105,85,56,53,51,36,28,20,14,13,7,5,3,1,2,1,
贵州省,0,0,0,0,1,1,0,0,0,2,3,1,3,6,75,67,59,41,33,33,37,54,61,82,75,67,53,50,47,38,42,34,23,19,14,11,10,8,9,3,2,2,3,2,1,0,1,1,1,
云南省,0,0,0,0,1,0,0,1,4,29,75,104,163,191,236,228,261,252,225,172,149,123,144,146,125,109,89,100,96,103,108,100,83,64,61,58,59,45,32,26,23,17,12,11,5,6,4,5,5,
西藏自治区,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
陕西省,0,0,0,0,0,0,0,0,0,0,0,0,0,116,132,158,201,205,221,215,238,260,321,343,375,389,367,304,267,245,189,111,79,66,52,46,34,25,11,8,2,0,0,0,0,0,0,0,0,
甘肃省,0,0,0,0,0,0,0,0,0,0,6,2,5,8,15,15,20,9,9,18,16,21,23,21,14,20,18,23,12,12,10,10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
青海省,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,
宁夏回族自治区,0,0,0,0,1,1,0,1,1,1,0,0,2,1,1,1,8,12,18,24,39,45,41,36,34,33,31,28,30,29,30,28,27,25,25,21,11,7,7,5,5,4,4,4,5,4,4,1,1,
新疆维吾尔自治区,0,0,0,0,0,0,0,3,0,1,6,2,3,22,28,19,21,26,33,46,47,39,23,38,39,33,31,27,25,26,22,20,19,18,17,11,6,4,3,3,2,2,2,2,2,0,0,0,0,
