,新增确诊.1,新增确诊.2,新增确诊.3,新增确诊.4,新增确诊.5,新增确诊.6,新增确诊.7,新增确诊.8,新增确诊.9,新增确诊.10,新增确诊.11,新增确诊.12,新增确诊.13,新增确诊.14,新增确诊.15,新增确诊.16,新增确诊.17,新增确诊.18,新增确诊.19,新增确诊.20,新增确诊.21,新增确诊.22,新增确诊.23,新增确诊.24,新增确诊.25,新增确诊.26,新增确诊.27,新增确诊.28,新增确诊.29,新增确诊.30,新增确诊.31,新增确诊.32,新增确诊.33,新增确诊.34,新增确诊.35,新增确诊.36,新增确诊.37,新增确诊.38,新增确诊.39,新增确诊.40,新增确诊.41,新增确诊.42,新增确诊.43,新增确诊.44,新增确诊.45,新增确诊.46,新增确诊.47,新增确诊.48
0,0,0,0,3,5,4,12,10,15,16,13,16,16,20,24,27,32,16,25,21,23,18,11,11,5,10,14,6,3,5,1,6,6,2,1,3,0,0,1,0,10,0,1,2,1,0,3,1
1,0,0,0,0,2,2,1,3,2,5,8,2,2,5,2,11,4,14,4,3,9,2,7,3,5,10,6,7,1,2,2,1,3,2,1,2,2,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,1,1,6,5,5,15,15,17,17,14,8,9,13,9,22,14,24,11,12,21,12,14,18,8,9,1,1,4,1,1,1,2,0,0,1,5,1,0,0,0,0,0,0
3,0,0,0,0,0,1,0,5,3,4,7,7,8,4,8,9,10,8,7,9,6,8,12,4,3,2,2,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,1,1,5,4,2,3,2,2,3,3,7,4,5,4,3,1,4,4,0,2,1,2,5,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,2,2,8,5,5,5,9,3,6,15,4,6,4,7,8,5,5,6,2,1,3,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
6,0,0,0,0,0,1,2,1,0,2,2,1,5,0,3,6,8,11,12,5,6,4,9,2,1,2,1,2,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,2,6,6,6,9,7,6,16,21,15,23,39,35,37,50,19,26,24,29,18,17,23,7,20,12,7,6,6,3,0,1,0,0,0,0,0,0,0,0,0,0,1
8,0,0,0,2,7,7,4,13,7,13,13,14,21,27,25,24,16,15,25,21,15,12,11,3,7,4,7,5,8,2,3,2,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
9,0,0,0,0,0,1,4,9,17,16,23,29,30,39,34,34,35,37,33,32,35,31,29,24,23,28,27,23,11,13,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,5,5,20,19,42,24,45,123,132,109,62,62,63,105,66,59,52,42,27,29,25,14,14,10,7,5,4,1,1,2,28,2,0,0,0,0,0,0,0,0,1,7,0,2
11,0,0,0,0,0,1,14,24,21,10,36,46,48,37,60,43,68,72,50,61,74,68,46,51,30,29,22,24,16,12,11,9,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
12,0,0,0,0,0,1,4,5,8,17,24,23,19,19,24,15,20,15,11,10,9,15,11,11,6,5,7,2,4,2,3,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
13,0,0,0,0,2,1,4,11,18,12,24,37,53,78,47,47,59,85,72,52,61,37,42,32,32,40,28,28,13,13,5,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,0,0,0,1,1,7,12,18,22,26,34,24,33,24,23,21,24,28,45,36,28,28,24,27,11,9,13,11,7,4,2,1,2,202,2,4,1,0,1,0,0,0,0,2,0,0,0
15,0,0,0,0,1,4,4,23,51,45,40,38,72,74,70,71,73,109,89,87,63,67,53,40,32,30,34,15,28,19,15,11,5,4,2,3,1,0,0,0,1,0,0,0,0,0,0,0
16,17,59,77,72,105,69,105,180,323,371,1291,840,1032,1220,1347,1921,2103,2345,3156,2987,2447,2841,2147,2618,2097,1638,14840,4823,2420,1843,1933,1807,1693,775,631,366,630,398,499,401,409,318,423,570,196,114,115,134
17,0,0,0,0,1,3,5,15,45,31,43,78,56,55,57,74,58,72,68,50,61,31,35,41,33,34,22,20,13,3,2,1,1,2,1,2,3,0,0,0,1,0,1,0,0,0,0,0
18,0,0,0,0,12,6,21,25,20,48,42,53,70,82,127,85,79,114,73,74,74,57,45,31,26,42,22,20,33,22,6,6,3,1,1,6,3,3,2,0,0,1,1,0,1,0,0,0
19,0,0,0,0,0,5,8,10,10,13,5,7,20,9,13,11,16,12,11,18,4,11,12,15,5,7,0,4,9,2,1,4,2,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,4,1,5,10,7,11,5,3,3,8,6,7,9,11,11,11,12,6,8,6,3,12,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,5,4,18,30,18,35,22,15,18,41,32,24,38,37,29,23,22,15,20,22,18,19,13,11,8,7,7,2,2,5,7,5,1,2,1,0,0,0,0,0,0,0,0,0
22,0,0,0,0,2,3,10,13,16,25,21,18,34,36,30,24,23,28,19,20,23,19,23,19,12,19,15,12,7,11,14,13,6,6,5,1,0,1,2,2,3,4,0,0,0,0,0,1
23,0,0,0,0,0,3,0,1,1,2,2,0,3,3,14,9,8,10,8,5,8,12,7,13,9,13,4,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,1,0,1,3,6,10,11,19,19,10,11,8,10,8,5,6,7,3,2,1,8,5,1,7,6,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,3,2,10,7,13,11,17,24,15,15,12,14,23,8,11,11,13,5,6,6,4,1,2,4,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,2,2,3,7,5,5,2,4,6,5,11,5,1,5,8,1,10,5,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,1,3,2,0,0,2,0,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,1,1,1,1,3,4,1,5,4,5,2,3,3,0,6,3,2,0,4,4,5,6,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
30,0,0,0,0,0,0,2,1,1,1,5,3,1,3,1,3,3,5,3,4,3,3,3,4,6,4,4,2,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
