,新增疑似.1,新增疑似.2,新增疑似.3,新增疑似.4,新增疑似.5,新增疑似.6,新增疑似.7,新增疑似.8,新增疑似.9,新增疑似.10,新增疑似.11,新增疑似.12,新增疑似.13,新增疑似.14,新增疑似.15,新增疑似.16,新增疑似.17,新增疑似.18,新增疑似.19,新增疑似.20,新增疑似.21,新增疑似.22,新增疑似.23,新增疑似.24,新增疑似.25,新增疑似.26,新增疑似.27,新增疑似.28,新增疑似.29,新增疑似.30,新增疑似.31,新增疑似.32,新增疑似.33,新增疑似.34,新增疑似.35,新增疑似.36,新增疑似.37,新增疑似.38,新增疑似.39,新增疑似.40,新增疑似.41,新增疑似.42,新增疑似.43,新增疑似.44,新增疑似.45,新增疑似.46,新增疑似.47,新增疑似.48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,63,65,51,83,64,94,86,86,61,54,51,35,33,49,58,25,41,26,35,30,18,21,10,12,9,18,12,14,11,10
1,0,0,0,0,0,0,14,27,40,48,44,45,40,77,53,57,65,85,97,97,101,132,123,120,129,150,152,172,128,109,88,83,62,57,37,31,51,22,38,14,20,24,14,11,9,17,17,11
2,0,0,0,0,0,0,0,0,7,11,38,45,38,51,47,60,50,41,58,60,44,36,26,9,15,20,11,12,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1,22,9,14,34,23,21,28,23,28,26,32,21,14,20,22,28,30,18,27,23,24,24,12,15,5,6,3,1,5,2,1,4,0,1,1,0,0,0,0,0,0,0
4,0,0,0,0,0,0,2,4,0,4,1,3,0,1,4,5,1,0,0,4,6,4,3,3,2,1,3,1,7,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,18,37,22,40,35,45,55,48,56,42,35,42,47,86,73,81,102,82,86,66,66,69,45,64,64,26,20,14,13,15,9,6,14,22,15,11,16,18,36,32
6,0,0,0,0,0,0,0,0,3,1,1,1,5,3,6,10,12,17,48,37,29,13,19,15,24,24,12,10,8,16,9,14,11,9,4,7,7,7,14,2,2,3,3,6,2,2,0,0
7,0,0,0,0,0,0,2,12,9,40,36,45,48,76,76,78,73,93,78,109,88,117,104,65,77,43,56,35,48,44,27,32,21,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0
8,0,0,0,7,10,16,34,81,52,65,70,70,46,91,99,103,96,84,113,102,94,120,99,118,88,124,95,81,87,75,67,65,78,56,62,48,52,36,30,46,33,36,28,10,11,9,19,17
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,26,39,42,48,34,28,24,25,19,22,17,14,3,9,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,10,10,26,14,0,0,68,52,105,103,102,111,109,102,173,144,155,236,112,77,83,63,49,28,22,23,23,13,15,9,6,4,4,2,5,1,2,0,0,0,0,4,0,2,1
11,0,0,0,1,2,6,14,26,18,36,38,43,45,71,77,82,75,57,63,84,78,70,48,61,33,39,38,16,13,6,9,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,4,6,25,49,37,45,54,58,53,39,47,32,40,22,45,38,22,24,19,19,16,23,6,2,3,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,5,12,27,21,50,46,60,61,106,118,100,104,92,116,72,73,69,52,57,55,37,25,43,21,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
14,0,0,0,0,0,5,9,14,12,33,24,39,37,54,30,42,28,33,49,37,48,47,40,26,28,34,21,37,27,22,21,17,8,10,14,3,2,1,0,1,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,42,54,114,112,122,232,267,280,279,254,260,248,258,273,307,261,246,223,252,225,192,207,153,137,112,102,121,66,31,25,12,9,5,1,2,1,0,0,0,0,0,0
16,0,0,0,0,0,159,417,704,712,2793,1191,1876,2493,2867,3097,2606,3260,3182,1957,3230,2622,2073,2067,2272,1814,1685,1377,1154,1216,1036,909,788,596,880,1279,1125,631,450,373,311,403,332,159,64,80,64,52,67
17,0,0,0,0,0,10,20,25,34,47,53,114,202,152,223,186,183,137,142,167,122,113,107,88,93,94,60,53,50,36,14,15,12,5,5,2,0,1,1,1,0,0,1,0,0,0,0,0
18,0,0,0,4,1,7,10,30,45,73,47,91,78,77,43,69,86,48,34,61,71,65,62,33,36,39,29,8,9,2,1,0,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0
19,0,0,0,0,1,3,0,13,21,35,49,74,102,117,116,136,128,130,155,144,142,123,113,81,114,106,81,79,44,49,26,21,12,17,15,6,12,4,3,2,0,0,0,0,0,0,0,0
20,0,0,0,1,0,0,0,0,0,0,21,27,18,28,30,38,50,31,41,38,53,79,68,50,58,66,60,32,36,30,27,22,14,16,16,11,14,10,9,6,4,5,5,3,1,0,0,1
21,0,0,0,0,0,13,53,55,106,117,31,108,152,192,185,175,178,170,175,171,177,162,156,167,164,154,148,138,98,75,63,50,41,45,28,15,21,8,13,9,11,6,7,6,1,2,1,2
22,0,0,0,1,2,5,6,25,26,79,78,87,106,97,81,87,103,82,106,135,157,160,113,141,116,123,94,77,72,46,40,28,30,21,15,21,15,8,7,7,4,4,2,1,2,0,1,0
23,0,0,0,1,0,0,0,0,2,3,0,3,6,72,27,24,18,17,12,18,38,24,38,11,10,21,17,16,4,8,2,2,2,2,3,2,0,2,0,0,1,1,1,0,0,1,0,0
24,0,0,0,1,0,0,1,4,29,55,51,65,90,107,90,90,85,64,55,28,50,63,37,38,30,28,45,29,39,37,22,18,16,21,21,14,11,7,9,7,3,4,3,0,3,1,2,2
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,67,47,47,77,36,53,41,71,70,92,73,88,71,35,53,37,37,15,15,22,19,8,8,3,2,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,6,0,5,6,5,1,10,3,7,10,8,6,8,6,2,8,6,3,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,7,4,6,6,15,6,4,6,6,2,5,3,5,3,5,0,4,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0
30,0,0,0,0,0,0,3,0,1,7,2,1,20,13,6,8,12,23,19,15,16,4,20,9,1,2,0,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
